raceID,raceType,officeName,seatName,isUncontested,isNational
45911,General,State Senate,District 7,No data,No data
45912,General,State Senate,District 8,No data,No data
45913,General,State Senate,District 9,No data,No data
45914,General,State Senate,District 10,No data,No data
45918,General,State Senate,District 14,No data,No data
45919,General,State Senate,District 15,No data,No data
45929,General,State Senate,District 25,No data,No data
48719,General,State Senate,District 5,No data,No data
48721,General,State Senate,District 16,No data,No data
48722,General,State Senate,District 17,No data,No data
48725,General,State Senate,District 31,No data,No data
49470,General,State Senate,District 23,Yep,No data
